cycle,inner_call,train_examples,test_examples,accuracy,given_accuracy,blank_accuracy
0,0,51840,12960,0.47322529554367065,1.0,0.23882260918617249
0,1,51840,12960,0.6704475283622742,1.0,0.5238041877746582
1,0,51840,12960,0.6889660358428955,1.0,0.5505630373954773
1,1,51840,12960,0.7043981552124023,1.0,0.5728620886802673
2,0,51840,12960,0.7261574268341064,1.0,0.6043037176132202
2,1,51840,12960,0.7392746806144714,1.0,0.6232578754425049
3,0,51840,12960,0.7539351582527161,1.0,0.6444419622421265
3,1,51840,12960,0.7577931880950928,1.0,0.650016725063324
4,0,51840,12960,0.7630401253700256,1.0,0.6575983762741089
4,1,51840,12960,0.7743055820465088,1.0,0.6738767027854919
5,0,51840,12960,0.7762345671653748,1.0,0.6766640543937683
5,1,51840,12960,0.7837963104248047,1.0,0.6875905990600586
6,0,51840,12960,0.789814829826355,1.0,0.696287214756012
6,1,51840,12960,0.7902005910873413,1.0,0.6968446969985962
7,0,51840,12960,0.7935185432434082,1.0,0.7016389966011047
7,1,51840,12960,0.792129635810852,1.0,0.6996320486068726
8,0,51840,12960,0.7973765134811401,1.0,0.7072137594223022
8,1,51840,12960,0.7993055582046509,1.0,0.7100011110305786
9,0,51840,12960,0.800000011920929,1.0,0.7110045552253723
9,1,51840,12960,0.801311731338501,1.0,0.7128999829292297
10,0,51840,12960,0.802623450756073,1.0,0.7147954106330872
10,1,51840,12960,0.8006172776222229,1.0,0.711896538734436
11,0,51840,12960,0.804243803024292,1.0,0.717136800289154
11,1,51840,12960,0.8044753074645996,1.0,0.7174713015556335
12,0,51840,12960,0.8027777671813965,1.0,0.7150183916091919
12,1,51840,12960,0.8023919463157654,1.0,0.7144609093666077
13,0,51840,12960,0.8054783940315247,1.0,0.7189207077026367
13,1,51840,12960,0.8031635880470276,1.0,0.7155758738517761
14,0,51840,12960,0.8053240776062012,1.0,0.718697726726532
14,1,51840,12960,0.8033179044723511,1.0,0.7157988548278809
15,0,51840,12960,0.8054012060165405,1.0,0.7188092470169067
15,1,51840,12960,0.8062499761581421,1.0,0.7200356721878052
